The,rescinded,VBD,2,Y,N,obj,6,0,transf-nomod
government,rescinded,VBD,2,Y,N,obj,6,0,transf-nomod
was,rescinded,VBD,2,Y,N,obj,6,0,transf-nomod
rescinded,rescinded,VBD,2,Y,N,obj,6,0,transf-nomod
yesterday,rescinded,VBD,2,Y,N,obj,6,0,transf-nomod
.,rescinded,VBD,2,Y,N,obj,6,0,transf-nomod
The,rescinded,VBD,2,Y,N,nobj,5,0,transf-nomod
government,rescinded,VBD,2,Y,N,nobj,5,0,transf-nomod
rescinded,rescinded,VBD,2,Y,N,nobj,5,0,transf-nomod
yesterday,rescinded,VBD,2,Y,N,nobj,5,0,transf-nomod
.,rescinded,VBD,2,Y,N,nobj,5,0,transf-nomod
The,rescinded,VBD,2,Y,N,obj,9,0,transf-mod
government,rescinded,VBD,2,Y,N,obj,9,0,transf-mod
was,rescinded,VBD,2,Y,N,obj,9,0,transf-mod
entirely,rescinded,VBD,2,Y,N,obj,9,0,transf-mod
and,rescinded,VBD,2,Y,N,obj,9,0,transf-mod
easily,rescinded,VBD,2,Y,N,obj,9,0,transf-mod
rescinded,rescinded,VBD,2,Y,N,obj,9,0,transf-mod
yesterday,rescinded,VBD,2,Y,N,obj,9,0,transf-mod
.,rescinded,VBD,2,Y,N,obj,9,0,transf-mod
The,rescinded,VBD,2,Y,N,nobj,8,0,transf-mod
government,rescinded,VBD,2,Y,N,nobj,8,0,transf-mod
entirely,rescinded,VBD,2,Y,N,nobj,8,0,transf-mod
and,rescinded,VBD,2,Y,N,nobj,8,0,transf-mod
easily,rescinded,VBD,2,Y,N,nobj,8,0,transf-mod
rescinded,rescinded,VBD,2,Y,N,nobj,8,0,transf-mod
yesterday,rescinded,VBD,2,Y,N,nobj,8,0,transf-mod
.,rescinded,VBD,2,Y,N,nobj,8,0,transf-mod
The,rescinded,VBD,2,Y,N,obj,12,0,transf-longmod
government,rescinded,VBD,2,Y,N,obj,12,0,transf-longmod
was,rescinded,VBD,2,Y,N,obj,12,0,transf-longmod
entirely,rescinded,VBD,2,Y,N,obj,12,0,transf-longmod
",",rescinded,VBD,2,Y,N,obj,12,0,transf-longmod
easily,rescinded,VBD,2,Y,N,obj,12,0,transf-longmod
",",rescinded,VBD,2,Y,N,obj,12,0,transf-longmod
and,rescinded,VBD,2,Y,N,obj,12,0,transf-longmod
rapidly,rescinded,VBD,2,Y,N,obj,12,0,transf-longmod
rescinded,rescinded,VBD,2,Y,N,obj,12,0,transf-longmod
yesterday,rescinded,VBD,2,Y,N,obj,12,0,transf-longmod
.,rescinded,VBD,2,Y,N,obj,12,0,transf-longmod
The,rescinded,VBD,2,Y,N,nobj,11,0,transf-longmod
government,rescinded,VBD,2,Y,N,nobj,11,0,transf-longmod
entirely,rescinded,VBD,2,Y,N,nobj,11,0,transf-longmod
",",rescinded,VBD,2,Y,N,nobj,11,0,transf-longmod
easily,rescinded,VBD,2,Y,N,nobj,11,0,transf-longmod
",",rescinded,VBD,2,Y,N,nobj,11,0,transf-longmod
